logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000161016	-2.62142525294331	5.90218137858053	-13.6710978122705	5.45852709440336e-05	0.000564047799755014	2.58820884563422
ENSG00000075624	2.57194947632529	6.16826852489618	5.21180604521926	0.00400804798290179	0.012568233944331	-2.4245122239903
ENSG00000105968	-2.28118794458173	5.34425840956516	-7.40771470331246	0.000886699654990832	0.00458128155078597	-0.653676932964635
ENSG00000168264	-2.05206013267854	4.0273444470827	-8.05614462556541	0.000610790234164695	0.00378689945182111	-0.215945528525872
