logFC	logCPM	PValue	FDR
ENSG00000175130	3.11050300944958	12.8748335965907	5.83884438352184e-85	1.81004175889177e-83
ENSG00000105887	-2.5872679331512	15.4989931090835	1.08327867935253e-67	1.67908195299643e-66
ENSG00000075624	2.41956920147742	17.2899131545985	1.59226520819228e-64	1.64534071513202e-63
ENSG00000168264	-2.44851621177406	13.9505707849642	8.90529918577337e-58	6.90160686897436e-57
ENSG00000105968	-2.29178521357951	14.8176725822468	2.04715203675478e-53	1.26923426278796e-52
