ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000105887	ENSG00000105887	-2.72229181737743	14.9768457128277	-36.5359569955572	3.97390092922612e-12	1.2319092880601e-10	18.5222466605733
ENSG00000075624	ENSG00000075624	2.26388278684271	16.8307530102287	31.0374194316974	2.06013664577217e-11	3.19321180094687e-10	16.7860058152358
ENSG00000105968	ENSG00000105968	-2.42126696384462	14.398462364559	-26.5715958042903	9.8293347109051e-11	1.01569792012686e-09	15.2325345323954
ENSG00000168264	ENSG00000168264	-2.61347268028323	13.4776761054578	-24.2795668023216	2.42869036664011e-10	1.88223503414609e-09	14.384911562529
ENSG00000175130	ENSG00000175130	2.92153997807942	12.1576945521663	19.9320207492052	1.73977966030367e-09	1.07866338938828e-08	12.2949112484767
